Schemaname,Table,Sourceobject
Fusion_PO,RequisitionLines,FscmTopModelAM.PrcExtractAM.PorBiccExtractAM.RequisitionLineExtractPVO
Fusion_PO,StandardDistribution,FscmTopModelAM.PrcExtractAM.PoBiccExtractAM.PurchasingDocumentDistributionExtractPVO
Fusion_PO,StandardHeader,FscmTopModelAM.PrcExtractAM.PoBiccExtractAM.PurchasingDocumentHeaderExtractPVO
Fusion_PO,StandardLine,FscmTopModelAM.PrcExtractAM.PoBiccExtractAM.PurchasingDocumentLineExtractPVO
Fusion_PO,StandardShipment,FscmTopModelAM.PrcExtractAM.PoBiccExtractAM.PurchasingDocumentLineLocationExtractPVO
Fusion_PRJ,BillingEvent,FscmTopModelAM.PrjExtractAM.PjbBiccExtractAM.BillingEventExtractPVO
Fusion_PRJ,BuImplementation,FscmTopModelAM.PjfSetupSystemAM.BuImplementation
Fusion_PRJ,ContractProjectLinkage,FscmTopModelAM.PrjExtractAM.PjbBiccExtractAM.ContractProjectLinkExtractPVO
Fusion_PRJ,EventAdjustmentAudit,FscmTopModelAM.BillingEventAM.EventAdjustmentAuditP1
Fusion_PRJ,EventType,FscmTopModelAM.PrjExtractAM.PjfBiccExtractAM.EventTypeExtractPVO
Fusion_PRJ,ExpenditureCategory,FscmTopModelAM.PrjExtractAM.PjfBiccExtractAM.ExpenditureCategoryExtractPVO
Fusion_PRJ,ExpenditureItem,FscmTopModelAM.PrjExtractAM.PjcBiccExtractAM.ExpenditureItemExtractPVO
Fusion_PRJ,ExpenditureTypeClass,FscmTopModelAM.PrjExtractAM.PjfBiccExtractAM.ExpenditureTypeClassExtractPVO
Fusion_PRJ,ExpenditureTypeView,FscmTopModelAM.PrjExtractAM.PjfBiccExtractAM.ExpenditureTypeExtractPVO
Fusion_PRJ,InvoiceDistribution,FscmTopModelAM.PrjExtractAM.PjbBiccExtractAM.InvoiceDistributionExtractPVO
Fusion_PRJ,InvoiceHeader,FscmTopModelAM.PrjExtractAM.PjbBiccExtractAM.InvoiceHeaderExtractPVO
Fusion_PRJ,InvoiceLine,FscmTopModelAM.PrjExtractAM.PjbBiccExtractAM.InvoiceLineExtractPVO
Fusion_PRJ,NonLaborResource,FscmTopModelAM.PjfSetupTransactionsAM.NonLaborResource
Fusion_PRJ,PJFProjectCustomer,FscmTopModelAM.PjfProjectDefinitionAM.PJFProjectCustomerPVO
Fusion_PRJ,PjfTaskHierarchy,FscmTopModelAM.PjfProjectDefinitionAM.PjfTaskHierarchyBICVO
Fusion_PRJ,Project,FscmTopModelAM.PjfProjectAM.Project
Fusion_PRJ,ProjectAsset,FscmTopModelAM.PjcCapitalAM.ProjectAssetPVO
Fusion_PRJ,ProjectAssetLine,FscmTopModelAM.PrjExtractAM.PjcBiccExtractAM.ProjectAssetLineExtractPVO
Fusion_PRJ,ProjectAssetLineDetail,FscmTopModelAM.PrjExtractAM.PjcBiccExtractAM.ProjectAssetLineDetailExtractPVO
Fusion_PRJ,ProjectClassView,FscmTopModelAM.PrjExtractAM.PjfBiccExtractAM.ClassCodeExtractPVO
Fusion_PRJ,ProjectCommitment,FscmTopModelAM.PrjExtractAM.PjcBiccExtractAM.ProjectCommitmentExtractPVO
Fusion_PRJ,ProjectCostDistribution,FscmTopModelAM.PrjExtractAM.PjcBiccExtractAM.ProjectCostDistributionExtractPVO
Fusion_PRJ,ProjectExpenditureOrganization,FscmTopModelAM.OrganizationAM.ProjectExpenditureOrganizationPVO
Fusion_PRJ,ProjectPeriod,FscmTopModelAM.PjfSetupPeriodsAM.ProjectPeriodPVO
Fusion_PRJ,ProjectPlanIntegration,FscmTopModelAM.PjtProjectPlanAM.ProjectPlanIntegrationPVO
Fusion_PRJ,projectplanlinedetailbudgetpvo,FscmTopModelAM.PjoBudgetsAndForecastsAnalyticsAM.ProjectPlanLineDetailBudgetPVO
Fusion_PRJ,ProjectPlanVersionBudget,FscmTopModelAM.PjoBudgetsAndForecastsAnalyticsAM.ProjectPlanVersionBudgetPVO
Fusion_PRJ,ProjectPlanVersionForecast,FscmTopModelAM.PjoBudgetsAndForecastsAnalyticsAM.ProjectPlanVersionForecastPVO
Fusion_PRJ,ProjectProgress,FscmTopModelAM.PrjExtractAM.PjoBiccExtractAM.ProjectProgressExtractP1
Fusion_PRJ,ProjectResourceClass,FscmTopModelAM.PrjExtractAM.PjfBiccExtractAM.ProjectResourceClassExtractPVO
Fusion_PRJ,ProjectStatus,FscmTopModelAM.PrjExtractAM.PjfBiccExtractAM.ProjectStatusExtractPVO
Fusion_PRJ,ProjectTaskCodeValues,FscmTopModelAM.PjtSetupAM.PjtProjectTaskCodeValuesPVO
Fusion_PRJ,ProjectTaskOwningOrganization,FscmTopModelAM.OrganizationAM.ProjectTaskOwningOrganizationPVO
Fusion_PRJ,ProjectTranslation,FscmTopModelAM.PjfProjectAM.ProjectTranslation
Fusion_PRJ,ProjectTypeTranslation,FscmTopModelAM.PjfSetupProjectsAM.ProjectTypeTranslation
Fusion_PRJ,ProjectUnitClassificationPVO,FscmTopModelAM.OrganizationAM.ProjectUnitClassificationPVO
Fusion_PRJ,projplanlinedetailforecastpvo,FscmTopModelAM.PjoBudgetsAndForecastsAnalyticsAM.ProjPlanLineDetailForecastPVO
Fusion_PRJ,RevenueDistribution,FscmTopModelAM.PrjExtractAM.PjbBiccExtractAM.RevenueDistributionExtractPVO
Fusion_PRJ,TaskVL,FscmTopModelAM.PrjExtractAM.PjfBiccExtractAM.TaskStructureExtractPVO
Fusion_PRJ,TransactionDocumentEntry,FscmTopModelAM.PrjExtractAM.PjfBiccExtractAM.TransactionDocumentEntryExtractPVO
Fusion_PRJ,WorkType,FscmTopModelAM.PrjExtractAM.PjfBiccExtractAM.WorkTypeExtractPVO
Fusion_Sales,leadpvo,CrmAnalyticsAM.LeadAM.LeadPVO
Fusion_Sales,lookuptypestlpvo,CrmAnalyticsAM.CrmAnalyticsModelAM.LookupTypesTLPVO
Fusion_Sales,marketingactivitypvo,CrmAnalyticsAM.CampaignAM.MarketingActivityPVO
Fusion_Sales,opportunity,CrmAnalyticsAM.OpportunityAM.Opportunity
Fusion_Sales,opportunitylead,CrmAnalyticsAM.OpportunityAM.OpportunityLead
Fusion_Sales,salesaccountcustomer,CrmAnalyticsAM.SalesPartyAM.SalesAccountCustomer
Fusion_Sales,salescampaign,CrmAnalyticsAM.CampaignAM.SalesCampaign
Fusion_Sales,salesmethodtranslation,CrmAnalyticsAM.SalesStageAM.SalesMethodTranslation
Fusion_Sales,salesstagetranslation,CrmAnalyticsAM.SalesStageAM.SalesStageTranslation
Fusion_Sales,territoriestlpvo,CrmAnalyticsAM.AnalyticsServiceAM.TerritoriesTLPVO
Fusion_SCM_Planning,EndDemandPVO,FscmTopModelAM.MscAnalyticsTopAM.EndDemandPVO
Fusion_SCM_Planning,OrdersPVO,FscmTopModelAM.MscAnalyticsTopAM.OrdersPVO
Fusion_SCM_Planning,PlanningExceptionPVO,FscmTopModelAM.MscAnalyticsTopAM.PlanningExceptionPVO
Fusion_SCM_Planning,PlanningPeggingPVO,FscmTopModelAM.MscAnalyticsTopAM.PlanningPeggingPVO
Fusion_SCM_Planning,PlanPVO,FscmTopModelAM.MscAnalyticsTopAM.PlanPVO
Fusion_SRC,allbuyerpvo,fscmtopmodelam.prcpopublicviewam.allbuyerpvo
Fusion_SRC,awardednegotiationresponselinepvo,fscmtopmodelam.prcponpublicviewam.awardednegotiationresponselinepvo
Fusion_SRC,BuyerNamePVO,FscmTopModelAM.PrcPoPublicViewAM.BuyerNamePVO
Fusion_SRC,locationrefpvo,fscmtopmodelam.locationam.locationrefpvo
Fusion_SRC,NegDocumentNegotiationLinePVO,FscmTopModelAM.PrcPonPublicViewAM.NegDocumentNegotiationLinePVO
Fusion_SRC,negotiationstylebpvo,fscmtopmodelam.prcponpublicviewam.negotiationstylebpvo
Fusion_SRC,NegotiationStyleDocumentTypePVO,FscmTopModelAM.PrcPonPublicViewAM.NegotiationStyleDocumentTypePVO
Fusion_SRC,NegotiationStyleDocumentTypeTranslationPVO,FscmTopModelAM.PrcPonPublicViewAM.NegotiationStyleDocumentTypeTranslationPVO
Fusion_SRC,paymenttermheaderbpvo,fscmtopmodelam.finapinvsetuppmttermsam.paymenttermheaderbpvo
Fusion_SRC,PaymentTermHeaderTranslationPVO,FscmTopModelAM.FinApInvSetupPmtTermsAM.PaymentTermHeaderTranslationPVO
Fusion_SRC,ponbidstatusnegotiationlookuppvo,fscmtopmodelam.prcponpublicviewam.ponbidstatusnegotiationlookuppvo
Fusion_SRC,UnlockedNegotiationResponseHeaderPVO,FscmTopModelAM.PrcPonPublicViewAM.UnlockedNegotiationResponseHeaderPVO
Fusion_XLA,JournalEntryheader,FscmTopModelAM.FinExtractAM.XlaBiccExtractAM.SubledgerJournalHeaderExtractPVO
Fusion_XLA,JournalEntryLine,FscmTopModelAM.FinExtractAM.XlaBiccExtractAM.SubledgerJournalLineExtractPVO
Fusion_XLA,SubledgerJournalDistrib,FscmTopModelAM.FinExtractAM.XlaBiccExtractAM.SubledgerJournalDistributionExtractPVO
